consent,clif_harm_e_01_1,clif_harm_e_01_2,clif_harm_e_02_1,clif_harm_e_02_2,clif_harm_e_03_1,clif_harm_e_03_2,clif_harm_e_04_1,clif_harm_e_04_2,clif_harm_e_05_1,clif_harm_e_05_2,clif_harm_e_06_1,clif_harm_e_06_2,clif_harm_e_07_1,clif_harm_e_07_2,clif_harm_e_08_1,clif_harm_e_08_2,clif_harm_e_09_1,clif_harm_e_09_2,clif_harm_e_10_1,clif_harm_e_10_2,clif_harm_e_11_1,clif_harm_e_11_2,clif_harm_e_12_1,clif_harm_e_12_2,clif_harm_e_13_1,clif_harm_e_13_2,clif_harm_e_14_1,clif_harm_e_14_2,clif_harm_e_15_1,clif_harm_e_15_2,clif_harm_e_16_1,clif_harm_e_16_2,clif_harm_ph_01_1,clif_harm_ph_01_2,clif_harm_ph_02_1,clif_harm_ph_02_2,clif_harm_ph_03_1,clif_harm_ph_03_2,cliff_fair_01_1,cliff_fair_01_2,clif_fair_02_1,clif_fair_02_2,clif_fair_03_1,clif_fair_03_2,clif_fair_04_1,clif_fair_04_2,clif_fair_05_1,clif_fair_05_2,clif_fair_06_1,clif_fair_06_2,clif_fair_07_1,clif_fair_07_2,clif_fair_08_1,clif_fair_08_2,clif_fair_09_1,clif_fair_09_2,clif_fair_10_1,clif_fair_10_2,clif_fair_11_1,clif_fair_11_2,clif_fair_12_1,clif_fair_12_2,clif_pure_1_1,clif_pure_1_2,clif_pure_02_1,clif_pure_02_2,clif_pure_03_1,clif_pure_03_2,clif_pure_04_1,clif_pure_04_2,clif_pure_05_1,clif_pure_05_2,clif_pure_06_1,clif_pure_06_2,clif_pure_07_1,clif_pure_07_2,clif_pure_08_1,clif_pure_08_2,clif_pure_09_1,clif_pure_09_2,clif_pure_10_1,clif_pure_10_2,emt_14_1,emt_14_2,emt_15_1,emt_15_2,emt_12_1,emt_12_2,emt_13_1,emt_13_2,emt_11_1,emt_11_2,emt_10_1,emt_10_2,emt_09_1,emt_09_2,emt_08_1,emt_08_2,emt_07_1,emt_07_2,emt_06_1,emt_06_2,emt_05_1,emt_05_2,emt_04_1,emt_04_2,emt_03_1,emt_03_2,emt_02_1,emt_02_2,emt_01_1,emt_01_2,graham_pure_05_1,graham_pure_05_2,graham_pure_04_1,graham_pure_04_2,graham_pure_03_1,graham_pure_03_2,graham_pure_02_1,graham_pure_02_2,graham_pure_01_1,graham_pure_01_2,graham_fair_05_1,graham_fair_05_2,graham_fair_04_1,graham_fair_04_2,graham_fair_03_1,graham_fair_03_2,graham_fair_02_1,graham_fair_02_2,graham_fair_01_1,graham_fair_01_2,graham_harm_05_1,graham_harm_05_2,graham_harm_04_1,graham_harm_04_2,graham_harm_03_1,graham_harm_03_2,graham_harm_02_1,graham_harm_02_2,graham_harm_01_1,graham_harm_01_2,age,gender,hispanic,race,lib_con_1,lib_con_2,lib_con_3,pol_party,Debrief,likely_dups,total_na,clif_harm_wrong_mean,clif_fair_wrong_mean,clif_pure_wrong_mean,graham_harm_wrong_mean,graham_pure_wrong_mean,graham_fair_wrong_mean,clif_wrong_mean,graham_wrong_mean,emt_wrong_mean,clif_harm_likely_mean,clif_fair_likely_mean,clif_pure_likely_mean,graham_harm_likely_mean,graham_pure_likely_mean,graham_fair_likely_mean,clif_likely_mean,graham_likely_mean,emt_likely_mean
I understand and agree to continue,2,3,2,4,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,NA,2,0,0,4,0,0,0,0,0,1,0,2,0,5,0,0,2,NA,NA,5,3,4,3,4,0,5,0,5,0,5,0,5,5,0,3,5,0,5,0,5,1,5,0,5,2,5,0,5,0,4,0,5,0,5,0,5,0,5,0,4,0,0,1,0,1,0,1,3,3,0,1,0,1,0,3,2,3,0,3,0,1,1,3,5,0,2,0,5,2,2,0,5,0,4,0,0,0,5,0,5,0,5,0,5,0,0,0,5,0,5,1,4,0,0,1,4,5,5,1,5,0,19,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,11,1.222222222,4.363636364,4.8,3.6,3.8,4,3.025641026,3.8,1.333333333,0.578947368,1.363636364,0.2,1.4,0,0.2,0.7,0.533333333,1.533333333
I understand and agree to continue,4,1,2,4,3,4,1,4,3,0,2,4,3,4,3,1,2,4,1,5,3,4,1,4,2,4,1,4,2,2,2,4,3,1,5,1,4,4,5,5,4,3,1,5,1,4,1,5,3,3,5,2,3,5,1,5,3,5,5,3,5,1,5,0,5,1,5,0,5,0,5,1,5,0,5,1,5,1,5,0,5,1,1,5,2,4,2,4,2,2,2,4,1,4,1,5,2,5,2,3,1,NA,1,5,5,0,2,5,5,5,4,4,5,0,0,2,5,0,0,0,5,0,4,2,5,1,2,1,4,2,2,5,5,1,1,5,3,3,5,2,4,1,20,Female,No,White or Caucasian,6,6,5,Republican,Continue,NA,7,2.473684211,2.909090909,5,3.6,3,3.4,3.268292683,3.333333333,2.2,3.105263158,3.727272727,0.5,2.4,0.4,2.2,2.682926829,1.666666667,3.928571429
I understand and agree to continue,2,2,3,5,3,5,3,4,2,2,3,4,3,4,3,4,2,4,1,5,5,3,2,4,2,5,2,4,2,3,4,2,2,4,4,2,5,4,3,5,3,2,3,3,3,5,4,3,3,4,2,3,3,4,3,4,3,3,3,2,3,4,5,0,3,2,5,0,5,0,3,4,3,0,5,0,3,2,5,1,5,0,0,5,3,3,2,3,3,4,1,3,0,4,1,5,1,5,2,1,1,3,2,4,4,5,2,4,3,4,3,1,4,0,2,1,0,0,4,1,4,1,3,1,3,4,2,4,3,2,3,4,5,1,1,3,3,4,2,3,3,2,18,Female,No,White or Caucasian,6,6,5,Republican,Continue,NA,9,2.789473684,3,4.2,2.8,2.8,2.8,3.195121951,2.8,1.866666667,3.684210526,3.363636364,0.9,2.6,0.6,3,2.951219512,2.066666667,3.6
I understand and agree to continue,2,2,1,3,3,1,2,1,2,2,2,4,4,1,2,1,1,4,2,1,4,1,2,1,1,2,1,2,2,2,4,2,2,3,4,0,5,2,3,4,3,2,4,1,2,5,3,3,4,2,1,1,2,3,1,5,3,2,4,1,5,2,5,0,5,4,5,0,5,0,5,2,5,0,5,0,5,1,1,1,5,1,1,5,3,2,1,2,2,3,1,4,1,5,1,5,1,2,1,NA,1,3,1,5,5,2,1,5,3,4,4,2,4,0,0,0,1,0,0,0,4,0,5,1,5,2,1,1,4,0,3,4,5,0,0,5,3,4,2,4,1,2,19,Female,No,White or Caucasian,"Very conservative
7","Very conservative
7","Very conservative
7",Republican,Continue,NA,7,2.421052632,2.909090909,4.6,2.2,1.8,3.6,3.097560976,2.533333333,1.8,1.842105263,2.454545455,0.9,3,0,1.6,1.829268293,1.533333333,3.5
I understand and agree to continue,2,3,2,4,3,3,2,3,3,3,3,3,3,3,3,4,2,2,2,4,2,4,1,4,2,2,2,4,2,4,2,3,3,3,3,1,3,3,3,3,2,3,1,2,1,4,1,3,2,4,3,1,3,3,1,4,3,2,2,3,3,3,3,1,2,1,3,0,4,0,1,2,2,0,3,0,3,1,1,2,3,1,1,5,3,3,2,4,2,3,1,4,1,5,1,5,2,5,2,4,1,2,1,5,2,2,1,5,3,2,3,3,2,0,1,1,1,0,0,0,1,0,4,1,4,1,2,4,3,2,2,2,4,1,0,5,3,4,4,0,3,2,21,Female,No,White or Caucasian,3,4,4,Independent,Continue,NA,7,2.368421053,2,2.5,2.8,1,3,2.317073171,2.266666667,1.733333333,3.157894737,2.909090909,0.8,2.4,0.2,2,2.512195122,1.533333333,3.8
I understand and agree to continue,4,2,3,2,3,4,3,2,4,2,3,1,4,3,4,3,3,3,3,3,4,3,2,2,4,4,1,2,3,3,5,1,4,2,3,1,3,2,4,4,4,2,4,4,3,3,3,3,4,4,4,1,5,4,4,3,4,3,4,3,5,2,5,0,5,2,5,1,5,1,5,2,5,1,5,1,4,1,5,1,4,2,2,4,2,2,3,3,3,2,3,3,2,4,3,3,3,4,4,2,2,3,4,4,4,2,2,3,4,3,4,2,5,1,1,0,5,2,4,1,5,1,5,2,4,3,3,3,4,2,5,3,5,1,0,2,4,4,2,3,4,3,20,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,7,3.315789474,4,4.8,3,4,4.2,3.87804878,3.733333333,3,2.368421053,2.909090909,1.2,2.6,1,2.6,2.268292683,2.066666667,2.933333333
I understand and agree to continue,3,3,2,3,3,2,1,2,3,1,2,3,4,2,2,3,2,3,2,3,3,2,2,2,2,3,1,3,1,1,3,2,2,3,2,1,2,2,2,3,3,2,2,2,1,3,3,2,2,1,3,2,2,1,2,4,2,3,3,2,3,3,4,1,1,1,4,0,4,0,4,1,3,0,5,0,3,0,3,2,2,2,1,3,2,2,1,2,2,2,3,3,1,4,1,3,1,3,1,3,3,3,1,3,4,2,2,4,3,3,2,1,4,1,1,1,1,0,3,1,3,1,5,0,3,3,2,3,3,2,3,1,4,1,0,4,2,2,2,2,4,3,20,Male,No,White or Caucasian,5,NA,NA,Republican,Continue,NA,11,2.210526316,2.363636364,3.3,2.4,2.4,3.2,2.512195122,2.666666667,1.866666667,2.315789474,2.272727273,0.7,2.4,0.8,1.8,1.926829268,1.666666667,2.733333333
I understand and agree to continue,0,1,0,1,1,1,1,2,2,1,0,1,0,1,2,1,0,1,2,1,NA,1,0,1,2,1,0,1,0,1,4,1,2,1,1,1,0,1,3,1,1,1,2,1,1,1,4,1,3,1,3,1,4,1,1,1,3,1,4,1,4,1,5,1,5,1,5,0,5,NA,5,1,0,1,4,1,1,1,5,1,5,1,0,1,0,1,1,1,2,1,0,1,1,1,1,2,1,2,1,1,0,1,1,1,5,1,0,1,3,1,3,1,5,1,0,1,4,1,0,1,5,1,4,1,4,1,0,1,4,1,4,1,2,1,0,1,2,1,0,1,3,1,19,Female,No,White or Caucasian,"Very conservative
7",6,6,Republican,Continue,NA,10,0.944444444,2.727272727,4,1.4,2.8,3.2,2.25,2.466666667,1.266666667,1.052631579,1,0.888888889,1,1,1,1,1,1.133333333
I understand and agree to continue,3,1,2,1,2,1,3,1,1,1,1,1,3,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,4,1,2,1,3,1,3,1,3,1,4,1,3,1,3,1,3,1,4,1,4,1,3,1,2,1,2,1,NA,NA,4,1,5,1,4,1,5,1,5,1,4,1,5,1,5,1,4,1,4,1,5,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,5,1,2,1,3,1,5,1,5,0,0,1,0,0,0,0,5,1,5,1,4,1,2,1,4,1,4,1,4,1,0,1,3,1,3,1,2,1,19,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,9,2.368421053,3.2,4.6,2.4,2,3.8,3.15,2.733333333,2.2,1,1,1,1,0.4,1,1,0.8,1
I understand and agree to continue,5,0,4,2,5,1,4,1,5,2,5,0,5,0,5,0,5,0,5,2,5,2,5,0,5,3,5,2,4,0,5,0,5,0,4,0,1,3,5,0,5,3,4,0,3,4,4,3,5,3,5,0,5,2,4,2,5,1,5,2,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,2,4,1,4,2,4,2,4,3,5,4,5,4,NA,2,NA,1,5,1,5,0,5,5,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,0,5,1,5,0,5,2,5,0,3,2,5,2,5,2,5,0,18,Male,No,Black or African American,4,2,4,Democratic,Continue,NA,9,4.578947368,4.545454545,5,4.6,5,5,4.682926829,4.866666667,4.692307692,0.947368421,2,0,1.2,0,0.8,0.975609756,0.666666667,1.933333333
I understand and agree to continue,3,1,2,3,4,0,4,0,5,0,3,0,5,0,4,0,1,5,2,0,5,NA,1,2,5,1,3,3,4,0,4,1,4,1,4,0,4,0,3,3,3,1,2,1,2,5,4,3,4,3,4,0,4,3,2,5,3,1,5,1,5,3,5,0,4,1,5,0,5,0,5,0,3,0,0,0,5,0,5,0,5,1,2,4,4,2,3,0,2,4,2,4,1,4,2,5,3,3,2,1,1,1,2,5,5,0,3,1,4,4,4,0,5,0,3,1,3,0,2,0,3,0,4,1,5,3,2,1,5,0,4,1,4,0,0,4,4,0,3,1,4,0,21,Female,Yes,White or Caucasian,"Very conservative
7",5,5,Independent,Continue,NA,7,3.526315789,3.454545455,4.2,3,3.2,4,3.658536585,3.4,2.666666667,0.944444444,2.363636364,0.2,1,0.2,1.2,1.2,0.8,2.533333333
I understand and agree to continue,1,2,0,5,0,2,0,2,0,3,0,1,1,3,0,1,0,3,0,2,NA,4,0,2,0,5,0,3,0,2,0,1,1,0,2,3,2,0,2,2,1,1,0,3,0,3,0,2,1,1,2,1,1,5,0,2,1,5,1,1,4,3,5,1,3,0,3,0,5,0,2,4,1,0,3,0,0,1,4,1,1,1,0,5,0,5,0,2,1,3,0,2,0,2,0,5,2,5,0,3,0,3,0,3,4,1,0,5,1,5,0,3,2,0,0,2,1,0,1,0,5,0,1,0,4,3,0,3,2,1,2,4,1,0,0,5,1,4,0,2,3,1,21,Male,No,White or Caucasian,6,4,2,Republican,Continue,NA,7,0.388888889,1,2.7,1,1.8,1.8,1.175,1.533333333,0.533333333,2.315789474,2.454545455,0.8,2.4,0.4,2.2,1.975609756,1.666666667,3.466666667
I understand and agree to continue,3,3,3,2,4,3,4,2,3,4,2,1,3,1,4,2,3,3,2,3,3,3,3,1,3,2,3,2,3,3,4,2,4,1,4,1,4,2,3,4,4,1,3,2,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,2,4,1,5,0,4,4,5,0,5,0,5,4,4,0,4,0,4,1,5,0,4,2,1,4,3,2,2,2,3,1,3,1,3,3,2,3,3,4,3,3,2,3,3,4,5,3,3,3,3,4,3,1,4,0,3,0,4,0,1,1,5,0,5,2,5,1,3,2,4,1,3,3,5,0,3,1,4,3,4,2,4,1,21,Female,No,White or Caucasian,6,6,6,Republican,Continue,NA,9,3.263157895,3.272727273,4.5,4,3.4,4,3.56097561,3.8,2.8,2.157894737,2.636363636,1.1,1.4,0.2,1.8,2.073170732,1.133333333,2.733333333
I understand and agree to continue,5,1,5,5,5,3,5,3,5,2,5,3,5,1,5,4,2,5,5,4,4,1,4,1,5,5,4,3,5,3,5,2,5,0,5,1,5,1,4,3,5,1,3,2,4,5,2,3,4,1,1,0,4,4,1,5,3,3,5,2,4,3,5,0,5,4,5,0,5,0,5,2,5,0,5,0,5,0,5,1,5,0,1,5,1,5,2,5,1,3,2,5,2,5,1,5,2,5,2,NA,2,2,3,5,5,0,4,2,4,5,5,2,1,0,4,0,3,0,5,0,5,0,5,2,5,1,2,5,5,0,5,3,5,0,1,2,5,4,4,2,5,1,22,Female,Yes,Other,4,4,4,Other (please explain),Continue,NA,7,4.684210526,3.272727273,5,4,3.6,4.4,4.365853659,4,2.466666667,2.526315789,2.636363636,0.7,1.8,0,2.2,2.12195122,1.333333333,3.857142857
I understand and agree to continue,5,0,3,3,4,2,4,2,5,1,3,1,5,0,4,2,4,3,4,2,5,3,5,3,4,1,3,2,4,2,5,1,4,1,5,1,4,3,4,1,5,1,4,1,2,5,1,2,4,2,5,1,1,2,2,3,1,2,5,2,5,5,3,0,4,2,5,1,5,0,3,2,5,0,5,1,5,2,4,1,4,1,2,5,5,3,3,2,3,2,3,4,2,3,3,5,4,5,2,2,4,1,4,3,4,4,4,5,4,3,5,2,2,0,2,0,1,0,3,1,4,0,5,2,5,4,5,3,5,1,3,2,5,0,2,3,5,3,5,2,5,1,22,Nonbinary / third gender,Yes,White or Caucasian,2,NA,NA,Independent,Continue,NA,9,4.210526316,3.181818182,4.3,4.4,2.4,4.6,3.951219512,3.8,3.466666667,1.736842105,2.363636364,1,1.8,0.2,2.4,1.707317073,1.466666667,3.266666667
